market,short,long,atr,return_pct,win_rate,sharpe,max_dd,trades,avg_win,avg_loss
상승장,10,30,0.0,-63.89387395118082,27.27272727272727,-9.18379005079607,65.43678726748128,22,5.9403034015809615,-8.094701778815299
상승장,10,30,0.01,-63.89387395118082,27.27272727272727,-9.18379005079607,65.43678726748128,22,5.9403034015809615,-8.094701778815299
상승장,10,30,0.02,-30.82025946166257,37.5,-7.611446431228749,30.82025946166257,8,4.810468542487581,-9.548512095002737
상승장,10,30,0.03,0.0,0.0,0.0,0.0,0,0.0,0.0
상승장,10,37,0.0,-64.19499618109828,28.57142857142857,-9.926166264447986,64.78921344299134,21,5.263750577933448,-8.433172487792186
상승장,10,37,0.01,-64.19499618109828,28.57142857142857,-9.926166264447986,64.78921344299134,21,5.263750577933448,-8.433172487792186
상승장,10,37,0.02,-49.29331501427461,33.33333333333333,-8.152573192793641,54.28396367187408,12,6.970916908867816,-11.052210952262065
상승장,10,37,0.03,0.0,0.0,0.0,0.0,0,0.0,0.0
상승장,10,50,0.0,-44.376130687293745,23.076923076923077,-7.713708534872975,44.51414083944422,13,7.711823208835928,-7.626482850496172
상승장,10,50,0.01,-44.376130687293745,23.076923076923077,-7.713708534872975,44.51414083944422,13,7.711823208835928,-7.626482850496172
상승장,10,50,0.02,-26.37686347771592,33.33333333333333,-4.828396988194876,35.240914300662425,9,7.711823208835928,-8.256458608352473
상승장,10,50,0.03,0.0,0.0,0.0,0.0,0,0.0,0.0
상승장,10,100,0.0,-37.030127605032284,22.22222222222222,-8.45982303273965,39.76396507154124,9,8.06477286177412,-8.293910505075292
상승장,10,100,0.01,-37.030127605032284,22.22222222222222,-8.45982303273965,39.76396507154124,9,8.06477286177412,-8.293910505075292
상승장,10,100,0.02,-37.462597736582,14.285714285714285,-12.090787084618418,38.36061600508249,7,7.784912893756278,-8.515358696411608
상승장,10,100,0.03,0.0,0.0,0.0,0.0,0,0.0,0.0
상승장,14,20,0.0,-48.145675608114644,33.33333333333333,-4.426411474659364,49.549595422825675,27,6.513422811478938,-6.445626207737685
